task,reef/step,reef/run_step,reef/outcome,rollout/rewards,rollout/kl,rollout/response_lengths,rollout/truncated,train/importance_ratio,train/grad_norm,train/ppo_kl,perf/step_time,perf/train_time,perf/train_wait_time,perf/wait_time_ratio,perf/actor_train_tok_per_s
packing26,1,0,committed,0.4979191490795271,0.000748011632822454,12192.94921875,0,0.9999828934669495,78463.49428874551,0.0007538707577623427,2287.4729702472687,875.8772461414337,1411.595724105835,0.6170983187413339,8810.90749921446
packing26,2,1,committed,0.6499616574858089,0.0007835066644474864,10259.6953125,0,0.9999819993972778,69630.6360160526,0.0007594390190206468,2079.914479970932,828.4463977813721,1251.46808218956,0.6016920860164644,8817.121719025394
packing26,3,2,committed,1.0785520789118181,0.0010033863363787532,10712.36328125,0,1.000015139579773,77641.2987011423,0.0007209836621768773,2140.871899843216,865.978301525116,1274.8935983181,0.5955020468116122,8747.471465889672
packing26,4,3,committed,1.4280335179119439,0.001033925567753613,10979.974609375,0,0.9999992251396179,104307.79805939726,0.0006939001614227891,2374.857192993164,933.042806148529,1441.814386844635,0.6071162472836679,8312.203257501369
packing26,5,4,committed,1.7353334332117143,0.0012065997580066323,11225.302734375,0,1.0000174045562744,62279.08901067838,0.0006547080702148378,2129.618422269821,956.3072197437286,1173.3112025260925,0.5509490292986556,8325.229134280702
packing26,6,5,committed,1.908875188051912,0.00143113499507308,11254.6796875,0,0.999980092048645,64773.02352059845,0.000651755603030324,2433.3359003067017,954.6068515777588,1478.7290487289429,0.6076962282694146,8309.07281152147
packing26,7,6,committed,1.7899541423673597,0.0016809270018711686,10654.322265625,0,1.0000056028366089,79991.25712226305,0.0006514909327961504,2293.287588596344,915.3560092449188,1377.9315793514252,0.6008542435773692,8353.38541437362
packing26,8,7,committed,1.6992210963506975,0.0017673996044322848,10816.154296875,0,0.999994158744812,67835.82628670488,0.00064420560374856,2308.8750987052917,932.8327856063843,1376.0423130989075,0.5959795373385625,8340.682204393024
packing26,9,8,committed,1.7037391797212074,0.0015795562649145722,11308.822265625,0,1.0000033378601074,65139.76309444178,0.0006596569437533617,2103.7597799301147,975.9688029289246,1127.7909770011902,0.5360835337571929,8300.22470825154
packing26,10,9,committed,1.9672799615970982,0.0015768316807225347,11929.123046875,0,1.0000050067901611,67224.03379744479,0.0006546684890054166,2207.8155374526978,1027.6878464221954,1180.1276910305023,0.5345227764780084,8249.080166793323
