task,iteration,best_score_so_far
packing26,1,2.6359742
packing26,2,2.6359754
packing26,3,2.6359765
packing26,4,2.635977394754453
packing26,5,2.635977394754453
packing26,6,2.635977394754453
packing26,7,2.635977394754453
packing26,8,2.635977394754453
packing26,9,2.635977394754453
packing26,10,2.63598308491738
packing26,11,2.635983084917578
packing26,12,2.635983084917687
packing26,13,2.6359830849177777
packing26,14,2.6359830849177777
packing26,15,2.6359830849177777
packing26,16,2.6359830849177777
packing26,17,2.6359830849177777
packing26,18,2.6359830849177777
packing26,19,2.6359830849177777
packing26,20,2.6359830849177777
packing26,21,2.6359830849177777
packing26,22,2.6359830849177777
packing26,23,2.6359830849177777
packing26,24,2.6359830849177777
packing26,25,2.6359830849177777
packing26,26,2.6359830849177777
packing26,27,2.6359830849177777
packing26,28,2.6359830849177777
packing26,29,2.6359830849177777
packing26,30,2.6359830849177777
packing26,31,2.6359830849177777
packing26,32,2.6359830849177777
packing26,33,2.6359830849177777
packing26,34,2.6359830849177777
packing26,35,2.6359830849177777
packing26,36,2.6359830849177777
packing26,37,2.6359830849177777
packing26,38,2.6359830849177777
packing26,39,2.6359830849177777
packing26,40,2.6359830849177777
packing26,41,2.6359830849177777
packing26,42,2.6359830849177777
packing26,43,2.6359830849177777
packing26,44,2.6359830849177777
packing26,45,2.6359830849177777
packing26,46,2.6359830849177777
packing26,47,2.6359830849177777
packing26,48,2.6359830849177777
packing26,49,2.6359830849177777
packing26,50,2.6359830849177777
packing32,1,2.9294971374609458
packing32,2,2.934681203845712
packing32,3,2.939572771206412
packing32,4,2.9395727712065876
packing32,5,2.9395727712066058
packing32,6,2.9395727712067847
packing32,7,2.9395727712067847
packing32,8,2.939572771206864
packing32,9,2.939572771206864
packing32,10,2.939572771206864
packing32,11,2.939572771206864
packing32,12,2.939572771206864
packing32,13,2.9395727712068656
packing32,14,2.939572771207167
packing32,15,2.9395727712072155
packing32,16,2.9395727712072155
packing32,17,2.9395727712072155
packing32,18,2.9395727712072386
packing32,19,2.9395727712072386
packing32,20,2.9395727712072386
packing32,21,2.9395727712072386
packing32,22,2.9395727712072386
packing32,23,2.9395727712072386
packing32,24,2.9395727712074926
packing32,25,2.9395727712074926
packing32,26,2.9395727712074926
packing32,27,2.9395727712074926
packing32,28,2.9395727712074926
packing32,29,2.9395727712074926
packing32,30,2.9395727712074926
packing32,31,2.9395727712074926
packing32,32,2.9395727712074926
packing32,33,2.9395727712074926
packing32,34,2.9395727712074926
packing32,35,2.9395727712074926
packing32,36,2.9395727712074926
packing32,37,2.9395727712074926
packing32,38,2.9395727712074926
packing32,39,2.9395727712074926
packing32,40,2.9395727712074926
packing32,41,2.9395727712074926
packing32,42,2.9395727712074926
packing32,43,2.9395727712074926
packing32,44,2.9395727712074926
packing32,45,2.9395727712074926
packing32,46,2.9395727712074926
packing32,47,2.9395727712074926
packing32,48,2.9395727712074926
packing32,49,2.9395727712074926
packing32,50,2.9395727712074926
